City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Bowen,AU,78.42,clear sky,-20.0167,148.2333,
448,Rio Cuarto,AR,70.66,overcast clouds,-33.1307,-64.3499,
449,Nosy Varika,MG,74.3,few clouds,-20.5833,48.5333,
453,Kieta,PG,82.29,overcast clouds,-6.2167,155.6333,
454,Port-Gentil,GA,80.47,overcast clouds,-0.7193,8.7815,
455,Neiafu,TO,80.31,light rain,-18.65,-173.9833,
456,Puerto Baquerizo Moreno,EC,68.99,broken clouds,-0.9,-89.6,
461,Oranjestad,AW,81.1,overcast clouds,12.524,-70.027,
465,San Juan,AR,68.2,overcast clouds,-31.5375,-68.5364,
466,Mitsamiouli,KM,81.23,broken clouds,-11.3847,43.2844,
477,Mmabatho,ZA,65.73,overcast clouds,-25.85,25.6333,
481,Faranah,GN,77.05,overcast clouds,10.0404,-10.7434,
482,Jardim,BR,84.49,overcast clouds,-21.4803,-56.1381,
486,Dinguiraye,GN,76.91,overcast clouds,11.3,-10.7167,
488,Pointe Michel,DM,80.56,broken clouds,15.25,-61.3833,
489,Kirakira,SB,82.74,broken clouds,-10.4544,161.9205,
490,Robertsport,LR,82.45,overcast clouds,6.7533,-11.3686,
491,Cabo San Lucas,MX,87.51,few clouds,22.8909,-109.9124,
493,Ixtapa,MX,81.63,few clouds,20.7,-105.2,
495,Imbituba,BR,73.81,overcast clouds,-28.24,-48.6703,
496,Manokwari,ID,79.05,light rain,-0.8667,134.0833,
497,Vanimo,PG,77.7,light rain,-2.6741,141.3028,
504,Kavaratti,IN,80.8,scattered clouds,10.5669,72.642,
507,Damietta,EG,65.23,overcast clouds,31.4165,31.8133,
508,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,
509,Lethem,GY,88.23,broken clouds,3.3803,-59.7968,
511,Iraucuba,BR,83.93,broken clouds,-3.7461,-39.7833,
512,Valparaiso,CL,82.63,clear sky,-33.0393,-71.6273,
514,Prieska,ZA,67.17,overcast clouds,-29.6641,22.7474,
516,Malakal,SS,82.49,clear sky,9.5334,31.6605,
518,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,
520,Kingsport,US,65.84,broken clouds,36.5484,-82.5618,
521,Maragogi,BR,78.71,heavy intensity rain,-9.0122,-35.2225,
524,Pisco,PE,71.65,clear sky,-13.7,-76.2167,
525,Weligama,LK,77.09,overcast clouds,5.9667,80.4167,
527,Poum,NC,80.56,clear sky,-20.2333,164.0167,
528,Sabang,ID,80.71,broken clouds,5.8933,95.3214,
529,Lima,PE,73.9,moderate rain,-12.0432,-77.0282,
530,Sompeta,IN,69.78,very heavy rain,18.9333,84.6,
534,Machico,PT,66.83,scattered clouds,32.7,-16.7667,
535,Basag,PH,71.89,overcast clouds,8.9247,125.6178,
537,Malanje,AO,65.93,light rain,-9.5402,16.341,
539,Ishigaki,JP,69.55,broken clouds,24.3448,124.1572,
543,Malpe,IN,78.1,overcast clouds,13.35,74.7167,
548,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,
549,Mana,GF,78.39,overcast clouds,5.6592,-53.7767,
550,Alofi,NU,79.25,light rain,-19.0595,-169.9187,
551,Adre,TD,74.25,clear sky,13.4667,22.2,
554,Tura,IN,65.7,overcast clouds,25.5198,90.2201,
555,Bhinmal,IN,67.55,clear sky,25.0,72.25,
557,Suyo,PH,71.46,overcast clouds,16.9762,120.5254,
559,Namibe,AO,70.68,few clouds,-15.1961,12.1522,
561,Coahuayana,MX,87.3,scattered clouds,18.7333,-103.6833,
562,Bilma,NE,66.6,clear sky,18.6853,12.9164,
563,Nacala,MZ,77.68,few clouds,-14.5428,40.6728,
564,Hirara,JP,68.47,broken clouds,24.8,125.2833,
565,Yulara,AU,71.44,broken clouds,-25.2406,130.9889,
570,Emerald,AU,74.34,clear sky,-23.5333,148.1667,
571,Tautira,PF,84.22,light rain,-17.7333,-149.15,
573,Praia,CV,73.94,broken clouds,14.9215,-23.5087,
574,Coihaique,CL,68.61,few clouds,-45.5752,-72.0662,
576,Chacabuco,AR,65.88,overcast clouds,-34.6417,-60.4739,
578,Mangrol,IN,75.52,few clouds,21.1167,70.1167,
583,Douentza,ML,77.97,overcast clouds,14.9951,-2.9517,
585,Arlit,NE,71.87,clear sky,18.7369,7.3853,
586,Gondanglegi,ID,74.93,light rain,-7.7479,112.0132,
587,Tabou,CI,80.51,clear sky,4.423,-7.3528,
588,Diego De Almagro,CL,82.06,broken clouds,-26.3667,-70.05,
590,Cassilandia,BR,83.8,few clouds,-19.1133,-51.7342,
592,Norsup,VU,81.61,overcast clouds,-16.0667,167.3833,
594,Lazaro Cardenas,MX,83.32,few clouds,17.9583,-102.2,
597,Manutuke,NZ,70.84,overcast clouds,-38.6833,177.9167,
598,Puerto Carreno,CO,89.73,overcast clouds,6.189,-67.4859,
599,Pontes E Lacerda,BR,83.12,light rain,-15.2261,-59.3353,
600,Abonnema,NG,80.74,light rain,4.7084,6.7931,
601,Faanui,PF,81.36,few clouds,-16.4833,-151.75,
604,Pangai,TO,79.56,scattered clouds,-19.8,-174.35,
607,Todos Santos,MX,87.01,overcast clouds,23.45,-110.2167,
609,Parana,AR,86.31,broken clouds,-31.732,-60.5238,
610,Kirando,TZ,76.66,clear sky,-7.4167,30.6,
611,Sangmelima,CM,74.1,overcast clouds,2.9333,11.9833,
612,Sao Paulo De Olivenca,BR,81.39,overcast clouds,-3.3783,-68.8725,
613,Ataco,CO,84.06,overcast clouds,3.5915,-75.3818,
616,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,
618,Saurimo,AO,66.04,overcast clouds,-9.6608,20.3916,
625,Minbu,MM,71.11,overcast clouds,20.1833,94.8833,
626,Linguere,SN,84.69,overcast clouds,15.3953,-15.1193,
627,Sampit,ID,73.2,overcast clouds,-2.5333,112.95,
628,Katobu,ID,75.61,overcast clouds,-4.9408,122.5276,
630,Callaway,US,74.91,clear sky,30.153,-85.5699,
632,Nova Olimpia,BR,82.31,overcast clouds,-14.7972,-57.2881,
633,Davila,PH,73.06,broken clouds,18.4726,120.5763,
634,Kahului,US,76.26,scattered clouds,20.8947,-156.47,
639,Manuk Mangkaw,PH,81.72,overcast clouds,4.8,119.85,
642,Panaba,MX,83.1,clear sky,21.2833,-88.2667,
644,Sao Lourenco Do Sul,BR,73.45,overcast clouds,-31.3653,-51.9783,
