City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Wakema,MM,70.79,few clouds,16.6,95.1833,
651,Teseney,ER,79.93,clear sky,15.11,36.6575,
652,Balabac,PH,77.41,overcast clouds,7.9868,117.0645,
655,Lumut,MY,76.41,scattered clouds,4.2323,100.6298,
663,Ahuimanu,US,76.46,broken clouds,21.4447,-157.8378,
665,Maiduguri,NG,75.65,broken clouds,11.8464,13.1603,
666,Tacuarembo,UY,82.36,overcast clouds,-31.7333,-55.9833,
668,Sinnamary,GF,77.76,light rain,5.3833,-52.95,
672,Byron Bay,AU,71.87,broken clouds,-28.65,153.6167,
673,Cairns,AU,81.07,scattered clouds,-16.9167,145.7667,
674,Mbandaka,CD,72.39,light rain,0.0487,18.2603,
675,Dumai,ID,73.98,overcast clouds,1.6833,101.45,
676,Natchez,US,76.89,overcast clouds,31.5604,-91.4032,
678,Kudahuvadhoo,MV,81.97,few clouds,2.6708,72.8944,
679,Iralaya,HN,80.06,overcast clouds,15.0,-83.2333,
682,Mahalapye,BW,78.06,broken clouds,-23.1041,26.8142,
684,Thinadhoo,MV,81.55,overcast clouds,0.5333,72.9333,
685,Masumbwe,TZ,69.8,overcast clouds,-3.6333,32.1833,
686,Betare Oya,CM,76.89,overcast clouds,5.6,14.0833,
691,Santa Cruz Del Sur,CU,84.25,light rain,20.7147,-77.9956,
692,Ahipara,NZ,69.44,broken clouds,-35.1667,173.1667,
694,Paciran,ID,77.07,moderate rain,-6.8767,112.3761,
