City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Talnakh,RU,69.4865,88.3972,-28.26,100,100,1.01,overcast clouds
105,Saskylakh,RU,71.9167,114.0833,-19.89,99,100,5.35,overcast clouds
106,Huarmey,PE,-10.0681,-78.1522,70.3,79,100,10.25,overcast clouds
107,Khatanga,RU,71.9667,102.5,-21.26,98,100,8.43,overcast clouds
108,Mackenzie,CA,55.2999,-123.1698,21.42,86,90,4.61,light snow
109,Yerofey Pavlovich,RU,53.9667,121.9667,5.09,90,100,2.39,overcast clouds
110,Kemijarvi,FI,66.7131,27.4306,-0.29,99,11,2.44,few clouds
111,Husavik,IS,66.0449,-17.3389,19.8,80,29,11.74,scattered clouds
112,Hovd,MN,48.0056,91.6419,19.47,57,0,2.53,clear sky
113,Myrtle Beach,US,33.6891,-78.8867,74.34,70,69,1.01,broken clouds
114,Meulaboh,ID,4.1363,96.1285,75.92,87,92,4.41,overcast clouds
115,Begamganj,IN,23.6,78.3333,61.18,54,0,6.24,clear sky
116,Mahebourg,MU,-20.4081,57.7,78.26,83,40,5.75,scattered clouds
117,Kunigal,IN,13.0222,77.0267,68.43,90,77,3.91,broken clouds
118,Kodiak,US,57.79,-152.4072,20.71,86,90,0.0,overcast clouds
119,Crotone,IT,39.0851,17.1178,47.93,67,1,0.87,clear sky
120,Nouadhibou,MR,20.931,-17.0347,66.52,71,9,17.63,clear sky
121,Parrita,CR,9.5201,-84.3225,92.98,76,26,5.06,scattered clouds
122,Luwuk,ID,-0.9516,122.7875,78.22,87,94,3.13,overcast clouds
123,Avarua,CK,-21.2078,-159.775,80.65,78,75,5.75,broken clouds
124,Hami,CN,42.8,93.45,26.73,55,78,3.29,broken clouds
125,Nyimba,ZM,-14.5566,30.8149,80.11,36,22,7.54,few clouds
126,Lata,PT,40.1629,-8.3327,52.81,97,9,3.13,clear sky
127,Jos,NG,9.9167,8.9,67.95,37,89,5.73,overcast clouds
128,Ponta Do Sol,PT,32.6667,-17.1,66.83,63,96,9.4,overcast clouds
129,Pervomayskoye,RU,43.919,46.7102,42.39,78,44,6.29,scattered clouds
130,Luderitz,NA,-26.6481,15.1594,61.18,89,6,5.21,clear sky
131,Hofn,IS,64.2539,-15.2082,31.42,57,0,10.36,clear sky
132,Kortkeros,RU,61.8106,51.5806,3.2,94,100,8.5,light snow
133,Puerto Escondido,MX,15.85,-97.0667,86.41,51,1,5.32,clear sky
134,George Town,MY,5.4112,100.3354,79.9,78,20,1.01,few clouds
135,Jumla,NP,29.2747,82.1838,42.82,69,2,4.05,clear sky
136,Moron,AR,-34.6534,-58.6198,75.94,74,82,7.0,broken clouds
137,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,18.41,few clouds
138,Ulaangom,MN,49.9811,92.0667,4.84,73,6,4.79,clear sky
139,Katsuura,JP,35.1333,140.3,47.19,60,4,12.75,clear sky
140,Reporoa,NZ,-38.4333,176.35,66.34,95,100,2.93,overcast clouds
